,img_id,geojson_path,linestring,lane_number,paved,road_type
42,img1302,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1302.geojson,"[[-115.1776476, 36.152456183731594], [-115.1811576, 36.15248610494159]]",2,1,5
43,img802,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img802.geojson,"[[-115.22578147369, 36.22106547433], [-115.22578552262, 36.22054375459], [-115.22578943004, 36.22004027025], [-115.22579317514497, 36.2195576999]]",4,1,2
44,img931,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img931.geojson,"[[-115.21400478627329, 36.2511477], [-115.21407858689, 36.25135037354], [-115.21415142041, 36.25158876894], [-115.21409572419, 36.25170623886], [-115.2139929004, 36.25172696883], [-115.21389436092, 36.25172351383], [-115.21294324081, 36.25148857386], [-115.2127476, 36.25143693986751]]",2,1,5
45,img1384,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1384.geojson,"[[-115.17395480125441, 36.1598876998], [-115.17286766853, 36.15984821282]]",2,1,6
46,img555,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img555.geojson,"[[-115.24567072500112, 36.1844576998], [-115.24567282, 36.18465199785], [-115.24656494439, 36.18465630763]]",2,1,5
47,img1244,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1244.geojson,"[[-115.18683769366, 36.22843459911], [-115.18682538723, 36.22774376423]]",2,1,5
48,img1294,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1294.geojson,"[[-115.17880565078, 36.12266164574], [-115.17903797291, 36.12227415483], [-115.17917811521, 36.12204041099]]",6,1,3
49,img631,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img631.geojson,"[[-115.23990598844, 36.18168051386], [-115.23992462768433, 36.18161475275963], [-115.23994474428014, 36.18125265403502], [-115.23989828948, 36.18115653304]]",1,1,5
50,img532,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img532.geojson,"[[-115.25053434533, 36.21879722705], [-115.25053235811, 36.21863824893], [-115.25053147148, 36.21856731921], [-115.25057892624, 36.21847636705]]",2,1,6
51,img1390,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1390.geojson,"[[-115.17158651348, 36.17837325587], [-115.1717774838, 36.17833860895], [-115.17179512203, 36.17827099573], [-115.17178630292, 36.17747433559], [-115.17178467466285, 36.1774376998]]",1,1,6
52,img255,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img255.geojson,"[[-115.27767399798198, 36.1353176997], [-115.27767400794, 36.13588036889], [-115.2780088968, 36.13589000598], [-115.27805708224, 36.13580327217], [-115.278063043139, 36.1353176997]]",1,1,6
53,img1424,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1424.geojson,"[[-115.17019269418755, 36.1598876998], [-115.17030735549, 36.15983662419], [-115.17038934236287, 36.1598876998]]",2,1,6
54,img102,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img102.geojson,"[[-115.29447996965, 36.17461853099], [-115.29422941102, 36.17435528585]]",2,1,5
55,img1636,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1636.geojson,"[[-115.1530776, 36.209477943661966], [-115.15289193085, 36.20948009605]]",2,1,5
56,img1546,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1546.geojson,"[[-115.15727080875806, 36.1669076998], [-115.15722557503, 36.16694614847], [-115.15719617798, 36.16711371167], [-115.15717853975, 36.16732243075], [-115.15711974564, 36.16741944102]]",1,1,6
57,img93,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img93.geojson,"[[-115.2934776, 36.145631824834375], [-115.29350049845, 36.14561145402]]",1,1,5
58,img1492,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1492.geojson,"[[-115.16407559769293, 36.2546577], [-115.16407331257, 36.25472100244], [-115.16417412321, 36.2548441036], [-115.16573236763, 36.25481390899]]",2,1,5
59,img1075,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1075.geojson,"[[-115.19877698722, 36.19702777114], [-115.19904540546, 36.19699921601], [-115.19970788455, 36.19698779396], [-115.20003341306, 36.19705061525], [-115.20033038644, 36.19733616658], [-115.20152399099, 36.19662228826], [-115.20148972483, 36.19651948978], [-115.20140977046, 36.19626249359], [-115.20144240094, 36.19553327188]]",2,1,5
60,img1118,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1118.geojson,"[[-115.19550406595, 36.20657783218], [-115.19531933458, 36.20651870768], [-115.1951976, 36.206513698025844]]",2,1,6
61,img444,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img444.geojson,"[[-115.25648888278837, 36.1318076997], [-115.25648849651, 36.13179136759]]",2,1,5
62,img1431,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1431.geojson,"[[-115.1706276, 36.180983955995934], [-115.17012283787, 36.18097646695], [-115.1699974597, 36.18097361744], [-115.16986235492, 36.18097054688], [-115.16917365379, 36.18096660017], [-115.16913081294983, 36.1809476998]]",2,1,2
63,img686,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img686.geojson,"[[-115.23654817978515, 36.2371076999], [-115.2362815309, 36.23707503058], [-115.23562790556, 36.23701372826], [-115.23539229643, 36.23701985849], [-115.23540749702, 36.23672560668], [-115.23541889746, 36.23647120057], [-115.23551770129, 36.23623518453], [-115.23564310615, 36.23607273152], [-115.23576091072, 36.23598537457]]",2,1,5
64,img315,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img315.geojson,"[[-115.27269363642, 36.22743530687], [-115.27280384069, 36.22755179552], [-115.27329405969, 36.22796563537], [-115.27377287825, 36.22834268754]]",2,1,5
65,img209,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img209.geojson,"[[-115.2829476, 36.214588602385106], [-115.28303280702, 36.21408801111], [-115.28302331167, 36.21394937893], [-115.28297440303, 36.21323531281], [-115.28296741532, 36.21313329223], [-115.2829493936, 36.21257461902], [-115.28294820266099, 36.2125376999]]",2,1,5
66,img358,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img358.geojson,"[[-115.26685738362, 36.15290762371], [-115.26685373078799, 36.1528676998]]",2,1,5
67,img1029,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1029.geojson,"[[-115.2022176, 36.17735965996616], [-115.20259919253, 36.17736027943], [-115.20342157288, 36.17735732123], [-115.20415404565, 36.1773482363], [-115.20437559325, 36.17734548842], [-115.2046285078, 36.17734613034], [-115.20495835919, 36.17734696752], [-115.20539321498, 36.17734400932], [-115.2057276, 36.17734308238228]]",2,1,5
68,img704,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img704.geojson,"[[-115.2302976, 36.15719774121957], [-115.23029854503, 36.15719843972]]",2,1,6
69,img1196,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1196.geojson,"[[-115.19096137431, 36.20101037491], [-115.19062825395, 36.20101056842], [-115.18932299463, 36.20101087745]]",2,1,6
70,img1165,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1165.geojson,"[[-115.19183780053, 36.23321271729], [-115.19176377104, 36.23253596131]]",2,1,5
71,img688,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img688.geojson,"[[-115.23684368330206, 36.2441277], [-115.23640714432, 36.24365711927], [-115.23592042355, 36.24313243794], [-115.23567343121, 36.2428661807], [-115.23532276847, 36.24248816543], [-115.23509962668, 36.2422476171], [-115.23485151708, 36.24196924264], [-115.23453623852, 36.2416155044], [-115.23428272513, 36.24133106425], [-115.23407018261, 36.24109259312], [-115.2338076, 36.24079797545081]]",3,1,2
72,img973,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img973.geojson,"[[-115.21004748393, 36.25849184438], [-115.20966573232, 36.25873338307], [-115.20927585876, 36.25883356886], [-115.2092376, 36.258835897167515]]",2,1,5
73,img1028,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1028.geojson,"[[-115.2022176, 36.17358787366839], [-115.20231634379, 36.17356844866], [-115.20332040827, 36.17350231268]]",5,1,1
74,img55,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img55.geojson,"[[-115.3034079157138, 36.2195576999], [-115.30340232284, 36.21897604099], [-115.3040076, 36.218941121147]]",2,1,5
75,img957,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img957.geojson,"[[-115.21030992088716, 36.2020076999], [-115.21029247927, 36.20283214763]]",2,1,5
76,img939,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img939.geojson,"[[-115.2096605970082, 36.1423376998], [-115.2096574881, 36.14218147719], [-115.2095994417, 36.14198660711], [-115.20954277735, 36.14194790951], [-115.2094474154, 36.14193547099], [-115.20933132259, 36.14193961717], [-115.2092376, 36.141963681070315]]",2,1,6
77,img383,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img383.geojson,"[[-115.26271090143884, 36.1318076997], [-115.262711375, 36.13184100683]]",2,1,5
78,img642,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img642.geojson,"[[-115.240236349, 36.22173863087], [-115.24024902254, 36.21987222586], [-115.24025023175793, 36.2195576999]]",2,1,5
79,img653,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img653.geojson,"[[-115.2390728170507, 36.2581677], [-115.23910118608, 36.25821345133], [-115.2397781094, 36.25828945486]]",2,1,5
80,img1126,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1126.geojson,"[[-115.19778698874, 36.23654016617], [-115.19777178815, 36.23577694356]]",2,1,5
81,img27,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img27.geojson,"[[-115.3040076, 36.218941121147], [-115.30408239656, 36.21893680596]]",2,1,5
82,img1141,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1141.geojson,"[[-115.1951976, 36.148492210439194], [-115.19514048728, 36.14835076305], [-115.19501895672, 36.14811968381], [-115.19479472426, 36.14797590117], [-115.19455337483, 36.14793824381], [-115.19346296928, 36.14793132374], [-115.1916876, 36.14792005666358]]",2,1,5
83,img34,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img34.geojson,"[[-115.30212496508, 36.14527535443], [-115.30211366054, 36.14475522258], [-115.30205107884, 36.14472393173], [-115.3015333575, 36.14474953333], [-115.30155611448, 36.14529285628]]",1,1,6
84,img244,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img244.geojson,"[[-115.28288894528, 36.21646826914], [-115.28249659505, 36.21604976223], [-115.28249582167629, 36.2160476999]]",2,1,5
85,img1400,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1400.geojson,"[[-115.1706276, 36.21391491497821], [-115.17182375545, 36.2139070799], [-115.17249559344, 36.2139070799], [-115.17329515321, 36.2139070799], [-115.1741376, 36.21391354368515]]",2,1,3
86,img798,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img798.geojson,"[[-115.22444383966, 36.20560883705], [-115.22411824734, 36.2056457096]]",2,1,6
87,img920,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img920.geojson,"[[-115.2162576, 36.21289674768326], [-115.21621486471, 36.21289734929]]",2,1,5
88,img362,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img362.geojson,"[[-115.2674200434, 36.17017128714], [-115.26742001313, 36.16974004226], [-115.26683692598, 36.16976567247]]",2,1,5
89,img1635,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1635.geojson,"[[-115.1530776, 36.20567384900547], [-115.15277264173, 36.20567577912]]",2,1,5
90,img520,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img520.geojson,"[[-115.25033492252, 36.17419186937], [-115.24993442174, 36.17419192411], [-115.24992052527, 36.17393149653]]",2,1,6
91,img305,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img305.geojson,"[[-115.27591405075, 36.19344769504], [-115.2756286042, 36.19296560755]]",2,1,5
92,img486,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img486.geojson,"[[-115.25296288172048, 36.1669076998], [-115.25296152334, 36.16728880025]]",2,1,5
93,img852,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img852.geojson,"[[-115.22323721211, 36.25523519808], [-115.2232776, 36.255234446192695]]",2,1,5
94,img457,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img457.geojson,"[[-115.25616486854, 36.17451016676], [-115.25599840621, 36.17451307805], [-115.25555880209, 36.17451016676]]",2,1,5
95,img317,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img317.geojson,"[[-115.27585577570532, 36.2335976999], [-115.2759276, 36.233600357528765]]",6,1,2
96,img10,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img10.geojson,"[[-115.30533427035, 36.15865198243], [-115.30533142486, 36.15844925958], [-115.3053342467, 36.15840552107], [-115.30535823234, 36.15835190611], [-115.30538786165, 36.15832509863], [-115.3055684594, 36.15817130837], [-115.30571096231, 36.1580457365], [-115.30575470082, 36.15800905258], [-115.30576175542, 36.1579822451], [-115.30576316634, 36.15794273935], [-115.30576457726, 36.15762810421], [-115.30576316634, 36.1575067651], [-115.30575611174, 36.15747713578], [-115.30563788042, 36.15715224209]]",2,1,5
97,img584,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img584.geojson,"[[-115.24193845724031, 36.1598876998], [-115.24193560434, 36.15979136712], [-115.24191604911, 36.15917962205]]",2,1,3
98,img1255,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1255.geojson,"[[-115.1811576, 36.12814439129454], [-115.1811624272, 36.12810662555], [-115.18118418029, 36.1279717564], [-115.18120013256, 36.12782093497], [-115.18117982968, 36.12758165098], [-115.1811576, 36.12747630163598]]",2,1,1
99,img371,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img371.geojson,"[[-115.26748439069, 36.20050446791], [-115.26744035801, 36.19980544911], [-115.26557447316, 36.2000311166], [-115.2653976, 36.200059847265564]]",2,1,5
100,img211,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img211.geojson,"[[-115.2861861545879, 36.2230676999], [-115.28617949235, 36.22276157393], [-115.28613228978, 36.22275895156], [-115.28581994153, 36.22274159888]]",2,1,5
101,img1296,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img1296.geojson,"[[-115.18010236601, 36.13070418254], [-115.17949011464, 36.13103034806], [-115.17915151061, 36.13116302556], [-115.17876453457, 36.13127773631], [-115.17863645698, 36.13129442193], [-115.1776476, 36.13142324769372]]",3,1,1
102,img888,../data/AOI_2_Vegas_Roads_Train/geojson/spacenetroads/spacenetroads_AOI_2_Vegas_img888.geojson,"[[-115.21671810958823, 36.2406177], [-115.21671477318, 36.24076023919], [-115.21669474833, 36.2414059711]]",2,1,5
